receptor,molecule_chembl_id,canonical_smiles,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2,relation,IC50_value_nM,MolWt,MolLogP,NumHAcceptors,NumHDonors,NumRotatableBonds,IC50_value_nM_norm,MolWt_norm,MolLogP_norm,NumHAcceptors_norm,NumHDonors_norm,NumRotatableBonds_norm
B2,CHEMBL284782,C[C@H](Cc1ccc(OCC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1,CHEMBL210,,,CHEMBL1131399,-2.4106119,-12.283161,=,3000.0,363.84,3.06,4.0,3.0,9.0,0.22387770103619792,0.6156231893936811,0.7364130434782608,0.5,0.33333333333333337,0.9999999999999999
B2,CHEMBL3746068,Nc1nc(CNC(=O)c2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)cs1,CHEMBL210,,,CHEMBL3745665,-2.2641478,7.396562,=,5200.0,422.55,3.05,6.0,4.0,7.0,0.3880574181246945,0.8157186189973075,0.733695652173913,1.0,0.6666666666666666,0.7142857142857143
B2,CHEMBL3747244,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCC2(CCOC2=O)CC1,CHEMBL210,,,CHEMBL3745665,-10.420116,4.2242007,=,5600.0,448.56,3.25,5.0,2.0,5.0,0.41790827577714845,0.9043659043659044,0.7880434782608695,0.75,0.0,0.4285714285714285
B2,CHEMBL3747487,CCOC(=O)C1CCN(C(=O)c2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)CC1,CHEMBL210,,,CHEMBL3745665,-10.413323,4.022766,=,10900.0,450.58,3.5,5.0,2.0,7.0,0.813432139672163,0.9112504686275177,0.8559782608695651,0.75,0.0,0.7142857142857143
B2,CHEMBL3746280,CC1(C)CC2(CCN(C(=O)c3ccc(C[C@@H]4CC[C@H]([C@H](O)c5ccccc5)N4)cc3)CC2)C(=O)O1,CHEMBL210,,,CHEMBL3745665,-10.380196,4.272582,=,11000.0,476.62,4.03,5.0,2.0,5.0,0.8208948540852764,1.0,0.9999999999999999,0.75,0.0,0.4285714285714285
B2,CHEMBL3747546,CCOC(=O)[C@H]1[C@@H]2CN(C(=O)c3ccc(C[C@@H]4CC[C@H]([C@H](O)c5ccccc5)N4)cc3)C[C@@H]21,CHEMBL210,,,CHEMBL3745665,-10.539051,4.108002,=,13400.0,448.56,2.96,5.0,2.0,7.0,1.0,0.9043659043659044,0.7092391304347825,0.75,0.0,0.7142857142857143
B2,CHEMBL3099659,CC[C@H](Cc1ccc(OC)cc1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,224.0,331.41200000000003,2.750700000000001,5.0,4.0,8.0,0.016712748928167643,0.505102075593879,0.6523641304347828,0.75,0.6666666666666666,0.8571428571428571
B2,CHEMBL3099662,COc1ccc(C[C@@H](NC[C@H](O)c2cc(O)cc(O)c2)C(C)C)cc1,CHEMBL210,,,CHEMBL3886528,,,=,225.0,345.4390000000001,2.996700000000001,5.0,4.0,8.0,0.016787376072298778,0.5529088988105383,0.7192119565217393,0.75,0.6666666666666666,0.8571428571428571
B2,CHEMBL3099660,CC[C@@H](Cc1ccc(OC)cc1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,232.0,331.41200000000003,2.750700000000001,5.0,4.0,8.0,0.01730976608121672,0.505102075593879,0.6523641304347828,0.75,0.6666666666666666,0.8571428571428571
B2,CHEMBL3099661,COc1ccc(C[C@H](NC[C@H](O)c2cc(O)cc(O)c2)C(C)C)cc1,CHEMBL210,,,CHEMBL3886528,,,=,245.0,345.4390000000001,2.996700000000001,5.0,4.0,8.0,0.018279918954921474,0.5529088988105383,0.7192119565217393,0.75,0.6666666666666666,0.8571428571428571
B2,CHEMBL229620,Oc1cc(O)cc([C@@H](O)CNCCc2ccccc2)c1,CHEMBL210,,,CHEMBL3886528,,,=,729.0,273.33199999999994,1.9635,4.0,4.0,6.0,0.054399456714390726,0.30715381207184456,0.43845108695652174,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL387825,C[C@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,739.0,287.359,2.3519999999999994,4.0,4.0,6.0,0.055145728155702074,0.3549606352885041,0.5440217391304346,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL229390,C[C@@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,756.0,287.359,2.3519999999999994,4.0,4.0,6.0,0.05641438960593137,0.3549606352885041,0.5440217391304346,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL229388,C[C@@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,740.0,287.359,2.3519999999999994,4.0,4.0,6.0,0.05522035529983321,0.3549606352885041,0.5440217391304346,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL389902,Oc1cc(O)cc([C@H](O)CNCCc2ccccc2)c1,CHEMBL210,,,CHEMBL3886528,,,=,755.0,273.33199999999994,1.9635,4.0,4.0,6.0,0.05633976246180023,0.30715381207184456,0.43845108695652174,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL389629,C[C@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,730.0,287.359,2.3519999999999994,4.0,4.0,6.0,0.054474083858521864,0.3549606352885041,0.5440217391304346,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL4108239,COc1cccc(C[C@@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)c1,CHEMBL210,,,CHEMBL3886528,,,=,931.0,317.38500000000005,2.3606,5.0,4.0,7.0,0.06947413982887995,0.4572952523772197,0.5463586956521738,0.75,0.6666666666666666,0.7142857142857143
B2,CHEMBL3903905,C[C@@H](Cc1cccc(N)c1)NC[C@@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,1136.0,302.374,1.9342,5.0,5.0,6.0,0.08477270437576259,0.406134760233121,0.4304891304347826,0.75,0.9999999999999999,0.5714285714285714
B2,CHEMBL4115254,C[C@H](Cc1cccc(N)c1)NC[C@@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,1332.0,302.374,1.9342,5.0,5.0,6.0,0.09939962462546502,0.406134760233121,0.4304891304347826,0.75,0.9999999999999999,0.5714285714285714
B2,CHEMBL3909417,C[C@@H](Cc1cccc(N)c1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,1313.0,302.374,1.9342,5.0,5.0,6.0,0.09798170888697345,0.406134760233121,0.4304891304347826,0.75,0.9999999999999999,0.5714285714285714
B2,CHEMBL4113713,C[C@H](Cc1cccc(N)c1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,,,=,1308.0,302.374,1.9342,5.0,5.0,6.0,0.09760857316631778,0.406134760233121,0.4304891304347826,0.75,0.9999999999999999,0.5714285714285714
