,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
42,A1,CHEMBL38486,COC(=O)COc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1,EC50,,,M,CHEMBL2094251,,,CHEMBL1125527,-2.4276571,-12.33533
43,A1,CHEMBL31836,c1ccc2c(c1)OCC(CN1CCCCC1)O2,pA2,=,6.06,,CHEMBL2094251,,,CHEMBL1122788,1.3554106,4.2373548
44,A1,CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,EC50,=,1.5E-9,M,CHEMBL2094251,AGONIST,ISOPROTERENOL,CHEMBL1125527,-1.2605666,29.45034
45,A1,CHEMBL96467,C[C@@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@H]1c1ccc(F)c(F)c1,Ratio,>,500.0,,CHEMBL2094251,,,CHEMBL1132838,2.3738842,3.1310012
46,A1,CHEMBL2111563,C[C@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H]1c1ccc(F)c(F)c1,Ratio,<,10.0,,CHEMBL2094251,,,CHEMBL1132838,2.4537988,3.1006038
47,A1,CHEMBL7067,CC(CCc1ccccc1)NCC(O)c1cc(C(N)=O)c2c(ccn2C)c1,pA2,=,6.2,,CHEMBL2094251,,,CHEMBL1123192,9.587153,0.6863983
48,A1,CHEMBL2114249,C[C@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@H]1c1ccc(F)c(F)c1,Ratio,<,60.0,,CHEMBL2094251,,,CHEMBL1132838,2.3380923,3.0936196
49,A1,CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,pA2,=,6.8,,CHEMBL2094251,,,CHEMBL1123192,9.726398,0.55875105
50,A1,CHEMBL2112365,C[C@@H]1OC(=O)N(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H]1c1ccc(F)c(F)c1,Ratio,<,10.0,,CHEMBL2094251,,,CHEMBL1132838,2.4859471,3.0823696
51,A1,CHEMBL59,NCCc1ccc(O)c(O)c1,pD2,=,4.5,,CHEMBL2094251,,,CHEMBL1129706,-3.8734698,1.7364208
